Epoch,Open,High,Low,Close,Volume
2016-04-28 00:00:00-04:00,208.46,209.76,206.97,207.49,8523487
2016-04-29 00:00:00-04:00,206.72,207.13,205.03,206.41,12643840
2016-05-02 00:00:00-04:00,206.92,208.18,206.41,207.98,6222976
2016-05-03 00:00:00-04:00,206.52,206.79,205.285,206.15,8786152
2016-05-04 00:00:00-04:00,204.99,205.83,204.42,205.01,8731469
2016-05-05 00:00:00-04:00,205.56,205.975,204.47,204.99,6225395
2016-05-06 00:00:00-04:00,204.07,205.76,203.88,205.71,8376453
2016-05-09 00:00:00-04:00,205.57,206.39,205.36,205.9,6372117
2016-05-10 00:00:00-04:00,206.72,208.46,206.65,208.42,6879279
2016-05-11 00:00:00-04:00,207.91,208.33,206.51,206.55,7039553
2016-05-12 00:00:00-04:00,207.29,207.48,205.37,206.57,8240504
2016-05-13 00:00:00-04:00,206.21,206.85,204.38,204.77,8835211
2016-05-16 00:00:00-04:00,204.96,207.33,204.89,206.81,7405241
2016-05-17 00:00:00-04:00,206.46,206.79,204.23,204.86,11529835
2016-05-18 00:00:00-04:00,204.44,206.29,203.63,204.94,12455116
2016-05-19 00:00:00-04:00,204.06,204.54,202.78,204.22,12051904
2016-05-20 00:00:00-04:00,204.92,206.1,204.87,205.46,8858570
2016-05-23 00:00:00-04:00,205.5,205.835,204.99,205.15,5438549
2016-05-24 00:00:00-04:00,206.17,208.24,206.14,207.84,7667017
2016-05-25 00:00:00-04:00,208.67,209.77,208.62,209.25,6988958
2016-05-26 00:00:00-04:00,209.44,209.71,208.97,209.32,4706694
2016-05-27 00:00:00-04:00,209.53,210.2,209.48,210.2,6287546
2016-05-31 00:00:00-04:00,210.54,210.69,209.18,209.94,8519536
2016-06-01 00:00:00-04:00,209.12,210.48,208.89,210.27,6344781
2016-06-02 00:00:00-04:00,209.8,210.91,209.24,210.9,6364764
2016-06-03 00:00:00-04:00,210.25,210.68,208.86,210.29,9314979
2016-06-06 00:00:00-04:00,210.7,211.76,210.52,211.36,6668556
2016-06-07 00:00:00-04:00,211.525,212.33,211.5,211.67,5646275
2016-06-08 00:00:00-04:00,211.84,212.51,211.695,212.35,6409243
2016-06-09 00:00:00-04:00,211.51,212.22,211.19,212.01,6580878
2016-06-10 00:00:00-04:00,210.46,210.85,209.435,210.07,9872325
2016-06-13 00:00:00-04:00,209.37,210.37,208.35,208.45,9737633
2016-06-14 00:00:00-04:00,208.01,208.74,206.92,208.09,12591512
2016-06-15 00:00:00-04:00,208.54,209.2,207.53,207.79,9599327
